# Segment list file created Fri Jun 03 14:26:03 BST 2005 by ram on lnx5.sr.bham.ac.uk
# Input: S3H1L1v05_segs.txt (run S3, ifos H1L1, version 05)
# Use only playground data
# Minimum segment length to analyze: 182
# Don't analyze data with the following flags: H1:ACOUSTIC_ELEVATED H1:AIRPLANE H1:CALIB_LINE_V03 H1:DAQ_OVERFLOW H1:DUST H1:INJECTION_STOCHASTIC H1:INVALID_TIMING H1:LIGHTDIP H1:NO_CALIB_LINE_V01 H1:NO_CALIB_LINE_V02 H1:NO_EXCITATION_V02 H1:OUTSIDE_S3 H1:PRELOCKLOSS_10 H1:SEISMIC_ELEVATED H1:SEISMIC_HIGH H1:SEISMIC_TRANSIENT H1:UNLOCKED L1:AIRPLANE L1:CALIB_LINE_V03 L1:DAQ_OVERFLOW L1:DCU_TIMING_OFFSET L1:DUST L1:FE_SYNCH_ERROR L1:FE_SYNCH_WARNING L1:INJECTION_STOCHASTIC L1:LIGHTDIP L1:NO_CALIB_LINE_V01 L1:NO_CALIB_LINE_V02 L1:NO_EXCITATION_V02 L1:OUTSIDE_S3 L1:PRELOCKLOSS_10 L1:UNLOCKED
# Total duration of segments to be analyzed: 49957
#seg    start      stop    duration
 125  753601043  753601243    200
 129  753620041  753620353    312
 136  753638863  753639463    600
 146  753785373  753785708    335
 149  753791743  753792343    600
 166  753944750  753945000    250
 177  754008323  754008923    600
 179  754021253  754021445    192
 179  754021448  754021633    185
 185  754180513  754180913    400
 186  754193053  754193653    600
 190  754205793  754206393    600
 193  754218533  754219133    600
 194  754224903  754225104    201
 198  754237643  754238243    600
 202  754250383  754250983    600
 204  754263123  754263723    600
 204  754269493  754269882    389
 204  754269885  754270093    208
 205  754282233  754282440    207
 205  754282500  754282833    333
 216  754479703  754480033    330
 226  754562513  754563113    600
 226  754568883  754569483    600
 227  754575253  754575853    600
 257  755346023  755346623    600
 258  755352393  755352993    600
 265  755505273  755505758    485
 268  755518013  755518358    345
 269  755524383  755524983    600
 272  755575343  755575943    600
 273  755607488  755607793    305
 277  755760073  755760673    600
 281  755785553  755785933    380
 312  755906583  755907183    600
 313  755912953  755913164    211
 319  755932063  755932663    600
 321  755944803  755945403    600
 322  755951173  755951773    600
 322  755957543  755958048    505
 323  755963913  755964513    600
 330  755989393  755989993    600
 330  755995763  755996059    296
 332  756002280  756002733    453
 334  756008503  756009103    600
 336  756014988  756015473    485
 338  756027613  756028213    600
 340  756065833  756066433    600
 341  756072203  756072803    600
 343  756078573  756079173    600
 345  756084943  756085543    600
 347  756091313  756091913    600
 351  756098088  756098283    195
 353  756104053  756104653    600
 355  756110808  756111023    215
 356  756116793  756117393    600
 359  756129734  756130054    320
 365  756180493  756181008    515
 367  756186863  756187463    600
 368  756193233  756193560    327
 368  756193620  756193833    213
 369  756205973  756206328    355
 370  756212343  756212943    600
 375  756301608  756302123    515
 376  756390703  756391303    600
 379  756403443  756403750    307
 381  756416183  756416753    570
 388  756467143  756467743    600
 390  756473513  756474113    600
 391  756480228  756480483    255
 393  756492623  756493223    600
 395  756505541  756505963    422
 400  756530843  756531443    600
 405  756549953  756550488    535
 408  756562693  756563293    600
 409  756569063  756569663    600
 411  756594543  756594768    225
 428  756702833  756703433    600
 428  756709203  756709803    600
 429  756715573  756716173    600
 432  756811123  756811723    600
 433  756849343  756849720    377
 438  756881193  756881640    447
 441  756900303  756900903    600
 441  756906673  756907273    600
 468  757218803  757219403    600
 469  757225173  757225773    600
 472  757237913  757238513    600
 476  757250653  757251253    600
 476  757257023  757257623    600
 477  757263393  757263993    600
 478  757269763  757270363    600
 480  757282503  757283103    600
 483  757301613  757302213    600
 484  757307983  757308583    600
 484  757314353  757314953    600
 484  757320723  757321323    600
 486  757333463  757334063    600
 487  757339833  757340433    600
 488  757346203  757346760    557
